Polytope ID #	Polytope # (within H11)	H11	Basis from Toric Divisors	Toric from Basis Divisors	CY 2nd Chern Class (Basis)	CY Intersection Tensor (Basis)
29	24	2	{{J1,D3},{J2,D6}}	{{-4*J1+J2,D1},{J1,D2},{J1,D3},{5*J1-J2,D4},{-3*J1+J2,D5},{J2,D6}}	-19/6*J1*J2+13/6*J2^2	{{{1,5},{5,23}},{{5,23},{23,101}}}
30	25	2	{{J1,D1},{J2,D6}}	{{J1,D1},{2*J1+J2,D2},{2*J1+J2,D3},{2*J1+J2,D4},{7*J1+3*J2,D5},{J2,D6}}	296/7*J1*J2+18*J2^2	{{{9,-21},{-21,49}},{{-21,49},{49,-112}}}
31	26	2	{{J1,D4},{J2,D6}}	{{-3*J1+J2,D1},{J1,D2},{J1,D3},{J1,D4},{4*J1-J2,D5},{J2,D6}}	-6*J1^2+8/3*J2^2	{{{2,7},{7,21}},{{7,21},{21,63}}}
32	27	2	{{J1,D5},{J2,D6}}	{{-3*J1+J2,D1},{J1,D2},{J1,D3},{J1,D4},{J1,D5},{J2,D6}}	-6*J1^2+8/3*J2^2	{{{2,7},{7,21}},{{7,21},{21,63}}}
33	28	2	{{J1,D2},{J2,D6}}	{{J1,D1},{J1,D2},{2*J1+J2,D3},{2*J1+J2,D4},{6*J1+3*J2,D5},{J2,D6}}	50*J1*J2+12*J2^2	{{{0,0},{0,2}},{{0,2},{2,-8}}}
34	29	2	{{J1,D4},{J2,D5}}	{{J1,D1},{-J1+J2,D2},{-J1+J2,D3},{J1,D4},{J2,D5},{3*J2,D6}}	2*J1*J2+12*J2^2	{{{0,0},{0,2}},{{0,2},{2,4}}}
34	29	2	{{J1,D4},{J2,D5}}	{{J1,D1},{-J1+J2,D2},{-J1+J2,D3},{J1,D4},{J2,D5},{3*J2,D6}}	-2*J1*J2+14*J2^2	{{{-2,0},{0,2}},{{0,2},{2,4}}}
35	30	2	{{J1,D4},{J2,D5}}	{{J2,D1},{J1,D2},{J2,D3},{J1,D4},{J2,D5},{2*J1+3*J2,D6}}	5*J1^2+18*J1*J2+12*J2^2	{{{0,0},{0,2}},{{0,2},{2,0}}}
36	31	2	{{J1,D5},{J2,D6}}	{{4*J1-J2,D1},{-3*J1+J2,D2},{J1,D3},{-3*J1+J2,D4},{J1,D5},{J2,D6}}	-18*J1^2+10*J1*J2	{{{2,8},{8,30}},{{8,30},{30,108}}}
37	32	2	{{J1,D5},{J2,D6}}	{{3*J1-J2,D1},{3*J1-J2,D2},{-5*J1+2*J2,D3},{-2*J1+J2,D4},{J1,D5},{J2,D6}}	-24*J1^2+18*J1*J2-2*J2^2	{{{6,16},{16,42}},{{16,42},{42,109}}}
38	33	2	{{J1,D4},{J2,D5}}	{{-J1+J2,D1},{J1,D2},{J1,D3},{J1,D4},{J2,D5},{2*J1+2*J2,D6}}	4*J1^2+18*J2^2	{{{0,2},{2,2}},{{2,2},{2,2}}}
39	34	2	{{J1,D5},{J2,D6}}	{{7*J1-3*J2,D1},{-2*J1+J2,D2},{-2*J1+J2,D3},{-4*J1+2*J2,D4},{J1,D5},{J2,D6}}	120/7*J1*J2-6*J2^2	{{{9,21},{21,49}},{{21,49},{49,114}}}
40	35	2	{{J1,D5},{J2,D6}}	{{5*J1-2*J2,D1},{-2*J1+J2,D2},{-2*J1+J2,D3},{-2*J1+J2,D4},{J1,D5},{J2,D6}}	42/5*J1*J2-2*J2^2	{{{8,20},{20,50}},{{20,50},{50,124}}}
41	36	2	{{J1,D3},{J2,D6}}	{{J1,D1},{J1,D2},{J1,D3},{6*J1+2*J2,D4},{9*J1+3*J2,D5},{J2,D6}}	102*J1^2+69*J1*J2+11*J2^2	{{{0,1},{1,-3}},{{1,-3},{-3,9}}}
