Polytope ID #	Polytope # (within H11)	H11	Basis from Toric Divisors	Toric from Basis Divisors	CY 2nd Chern Class (Basis)	CY Intersection Tensor (Basis)
286	1	4	{{J1,D3},{J2,D5},{J3,D6},{J4,D8}}	{{J3,D1},{J1,D2},{J1,D3},{J2,D4},{J2,D5},{J3,D6},{-2*J1+2*J3+J4,D7},{J4,D8}}	4*J1*J3+8*J2*J3+4*J2*J4+8*J3*J4+2*J4^2	{{{0,0,0,0},{0,0,1,0},{0,1,0,1},{0,0,1,-2}},{{0,0,1,0},{0,0,0,0},{1,0,0,2},{0,0,2,-4}},{{0,1,0,1},{1,0,0,2},{0,0,0,0},{1,2,0,2}},{{0,0,1,-2},{0,0,2,-4},{1,2,0,2},{-2,-4,2,-8}}}
287	2	4	{{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	{{J1-2*J2+2*J3-J4,D1},{-2*J1+J2-J3+2*J4,D2},{J2-J3+J4,D3},{J1+J3-J4,D4},{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	-3*J1^2+5*J1*J2-3*J2^2+6*J3^2+4*J3*J4+6*J4^2	{{{-2,0,1,0},{0,0,1,1},{1,1,1,1},{0,1,1,0}},{{0,0,1,1},{0,-2,0,1},{1,0,0,1},{1,1,1,1}},{{1,1,1,1},{1,0,0,1},{1,0,0,1},{1,1,1,1}},{{0,1,1,0},{1,1,1,1},{1,1,1,1},{0,1,1,0}}}
288	3	4	{{J1,D4},{J2,D5},{J3,D6},{J4,D8}}	{{2*J2-J3,D1},{2*J1+J2-J3+J4,D2},{-J2+J3,D3},{J1,D4},{J2,D5},{J3,D6},{-3*J1-3*J2+3*J3-2*J4,D7},{J4,D8}}	-3*J2*J3+6*J3^2-2/3*J4^2	{{{0,-1,-1,0},{-1,1,2,3},{-1,2,3,3},{0,3,3,0}},{{-1,1,2,3},{1,1,2,0},{2,2,4,0},{3,0,0,-6}},{{-1,2,3,3},{2,2,4,0},{3,4,7,0},{3,0,0,-6}},{{0,3,3,0},{3,0,0,-6},{3,0,0,-6},{0,-6,-6,0}}}
289	4	4	{{J1,D3},{J2,D4},{J3,D7},{J4,D8}}	{{J2,D1},{J1,D2},{J1,D3},{J2,D4},{2*J2+J4,D5},{2*J1+J3,D6},{J3,D7},{J4,D8}}	16*J1*J2+8*J2*J3-2*J3^2+8*J1*J4+4*J3*J4-2*J4^2	{{{0,0,0,0},{0,0,1,1},{0,1,0,0},{0,1,0,-2}},{{0,0,1,1},{0,0,0,0},{1,0,-2,0},{1,0,0,0}},{{0,1,0,0},{1,0,-2,0},{0,-2,0,0},{0,0,0,0}},{{0,1,0,-2},{1,0,0,0},{0,0,0,0},{-2,0,0,0}}}
290	5	4	{{J1,D2},{J2,D5},{J3,D6},{J4,D8}}	{{J1,D1},{J1,D2},{J3,D3},{J2,D4},{J2,D5},{J3,D6},{2*J1+J4,D7},{J4,D8}}	8*J1*J2+8*J1*J3+4*J2*J3+4*J2*J4+4*J3*J4-2*J4^2	{{{0,0,0,0},{0,0,1,1},{0,1,0,1},{0,1,1,0}},{{0,0,1,1},{0,0,0,0},{1,0,0,0},{1,0,0,-2}},{{0,1,0,1},{1,0,0,0},{0,0,0,0},{1,0,0,-2}},{{0,1,1,0},{1,0,0,-2},{1,0,0,-2},{0,-2,-2,0}}}
291	6	4	{{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	{{J4,D1},{J3,D2},{J2,D3},{J1,D4},{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	4*J1*J2+4*J1*J3+4*J2*J3+4*J1*J4+4*J2*J4+4*J3*J4	{{{0,0,0,0},{0,0,1,1},{0,1,0,1},{0,1,1,0}},{{0,0,1,1},{0,0,0,0},{1,0,0,1},{1,0,1,0}},{{0,1,0,1},{1,0,0,1},{0,0,0,0},{1,1,0,0}},{{0,1,1,0},{1,0,1,0},{1,1,0,0},{0,0,0,0}}}
292	7	4	{{J1,D3},{J2,D6},{J3,D7},{J4,D8}}	{{-5*J1+J2+2*J3-2*J4,D1},{-2*J1+J3-J4,D2},{J1,D3},{9*J1-2*J2-3*J3+3*J4,D4},{-3*J1+J2+2*J3-J4,D5},{J2,D6},{J3,D7},{J4,D8}}	-3*J2^2+25*J1*J3-7*J2*J3-5*J3^2+26/3*J3*J4-2/3*J4^2	{{{0,0,1,1},{0,0,0,0},{1,0,3,0},{1,0,0,-3}},{{0,0,0,0},{0,8,-5,0},{0,-5,3,0},{0,0,0,0}},{{1,0,3,0},{0,-5,3,0},{3,3,7,0},{0,0,0,0}},{{1,0,0,-3},{0,0,0,0},{0,0,0,0},{-3,0,0,9}}}
293	8	4	{{J1,D3},{J2,D6},{J3,D7},{J4,D8}}	{{-J1+J2-J3-J4,D1},{3*J1-J2+J3+2*J4,D2},{J1,D3},{-6*J1+3*J2-2*J3-4*J4,D4},{-3*J1+2*J2-J3-2*J4,D5},{J2,D6},{J3,D7},{J4,D8}}	-18*J1*J2+10*J2^2-2*J2*J3-2*J3^2-8*J2*J4-2*J3*J4-2*J4^2	{{{1,-2,0,-3},{-2,2,0,4},{0,0,0,0},{-3,4,0,7}},{{-2,2,0,4},{2,5,0,0},{0,0,-8,4},{4,0,4,-8}},{{0,0,0,0},{0,0,-8,4},{0,-8,-16,3},{0,4,3,1}},{{-3,4,0,7},{4,0,4,-8},{0,4,3,1},{7,-8,1,-16}}}
294	9	4	{{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	{{3*J1-2*J2+J3-J4,D1},{2*J1-J2+J3-J4,D2},{-2*J1+2*J2-J3+J4,D3},{-4*J1+4*J2-2*J3+2*J4,D4},{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	10/3*J2^2+2/3*J3^2+28/3*J1*J4+10/3*J2*J4-2*J4^2	{{{0,1,2,0},{1,1,2,3},{2,2,-2,0},{0,3,0,-6}},{{1,1,2,3},{1,0,0,2},{2,0,-4,0},{3,2,0,4}},{{2,2,-2,0},{2,0,-4,0},{-2,-4,0,0},{0,0,0,0}},{{0,3,0,-6},{3,2,0,4},{0,0,0,0},{-6,4,0,-24}}}
295	10	4	{{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	{{J1+J2-J3+J4,D1},{-J1-J2+2*J3-J4,D2},{-J1+J2+J3,D3},{2*J1-J3+J4,D4},{J1,D5},{J2,D6},{J3,D7},{J4,D8}}	-2*J1^2-4*J2*J3+18*J3^2+2*J2*J4-2*J3*J4	{{{-4,0,-1,3},{0,0,0,0},{-1,0,1,3},{3,0,3,1}},{{0,0,0,0},{0,1,-1,-3},{0,-1,1,3},{0,-3,3,7}},{{-1,0,1,3},{0,-1,1,3},{1,1,1,0},{3,3,0,-6}},{{3,0,3,1},{0,-3,3,7},{3,3,0,-6},{1,7,-6,-16}}}
