Polytope ID #	Polytope # (within H11)	H11	Basis from Toric Divisors	Toric from Basis Divisors	CY 2nd Chern Class (Basis)	CY Intersection Tensor (Basis)
1	1	1	{{J1,D5}}	{{J1,D1},{J1,D2},{J1,D3},{J1,D4},{J1,D5}}	10*J1^2	{{{1}}}
2	2	1	{{J1,D5}}	{{J1,D1},{J1,D2},{J1,D3},{J1,D4},{J1,D5}}	10*J1^2	{{{5}}}
3	3	1	{{J1,D4}}	{{J1,D1},{J1,D2},{J1,D3},{J1,D4},{2*J1,D5}}	14*J1^2	{{{3}}}
4	4	1	{{J1,D3}}	{{J1,D1},{J1,D2},{J1,D3},{2*J1,D4},{5*J1,D5}}	34*J1^2	{{{1}}}
5	5	1	{{J1,D4}}	{{J1,D1},{J1,D2},{J1,D3},{J1,D4},{4*J1,D5}}	22*J1^2	{{{2}}}
